2.657805105771558374e+00,2.295944185383284264e+00,2.567105749540939286e+00,2.304086806634070062e+00,2.694735192331189300e+00,2.672346849542140301e+00,3.767981991150894938e+00,3.767981991150894494e+00,2.570674756366770897e+00,2.633275598644676752e+00,2.283248163820808863e+00,2.569888883104023414e+00,2.322345507300449530e+00,2.748278606824654080e+00,3.043757946221704813e+00,3.767981991150894494e+00,3.386340315693912917e+00,2.492730486404836743e+00,2.614127923136191356e+00,2.275352339904177956e+00,2.575451617034841156e+00
2.662116856928058439e+00,2.298467213523528674e+00,2.572252800815077567e+00,2.309646896732264754e+00,2.698607516155457020e+00,2.693018482092651933e+00,3.767981991150894938e+00,3.767981991150894494e+00,2.345092714026695724e+00,2.636488856781966650e+00,2.288903591840182106e+00,2.578085788317038052e+00,2.328727350738911905e+00,2.751883431636503285e+00,3.079321297887826603e+00,3.767981991150894494e+00,3.418709978437271868e+00,2.501460994132653326e+00,2.614804408290242854e+00,2.282866737215537789e+00,2.581562005599009613e+00
2.670558484842284308e+00,2.305224695252923173e+00,2.579366538713569579e+00,2.316499010520141955e+00,2.705105885912940433e+00,2.884441736520637178e+00,3.767981991150894938e+00,3.767981991150894938e+00,2.589106186690057765e+00,2.645262781251684903e+00,2.296222299626898611e+00,2.581904305167697533e+00,2.331039706389960386e+00,2.759349747191885083e+00,3.221623399055226766e+00,3.767981991150894494e+00,3.452825191148212625e+00,2.510971750661905588e+00,2.623984607238059041e+00,2.283573524101801144e+00,2.583307113909099506e+00
2.675838617532305896e+00,2.307762228628472467e+00,2.582504501196737134e+00,2.321543901329878867e+00,2.714760014248579267e+00,2.901462079387962412e+00,3.767981991150894938e+00,3.767981991150894938e+00,2.599466550147802035e+00,2.648018777815485336e+00,2.299686469817116663e+00,2.585114212284451263e+00,2.339386325525988131e+00,2.768406625237719965e+00,3.253089854490339938e+00,3.767981991150894494e+00,3.490950720754292913e+00,2.519684518483709113e+00,2.628237920056549104e+00,2.292444667634519817e+00,2.587168703963207861e+00
2.677634359358395333e+00,2.314349549206204060e+00,2.588439802616701257e+00,2.322890703837762860e+00,2.716762639732924089e+00,2.918145627048909674e+00,3.767981991150894494e+00,3.767981991150894938e+00,2.610241360753184470e+00,2.653969924201935005e+00,2.305367933646419232e+00,2.588439802616701257e+00,2.349533011846678843e+00,2.771092313007281316e+00,3.286025949681432579e+00,3.767981991150894494e+00,3.533740441235899254e+00,2.527985717878783234e+00,2.632126830296578568e+00,2.297649870871590227e+00,2.590249754527869541e+00
2.685931384890325013e+00,2.320590165647736125e+00,2.588876841886610602e+00,2.332969327573738205e+00,2.724038928667530168e+00,2.935168537635380215e+00,3.767981991150894494e+00,3.767981991150894938e+00,2.620514746101519687e+00,2.659942101715710550e+00,2.309708869363346295e+00,2.592180432077166863e+00,2.351801882048991210e+00,2.774703070847507114e+00,3.320525632875530597e+00,3.767981991150894494e+00,3.586480929735839762e+00,2.537283155333166285e+00,2.639235426806303852e+00,2.303003043949788609e+00,2.599154512459060928e+00
2.691530246840698304e+00,2.331250261581081062e+00,2.593546045857109128e+00,2.338844912296755840e+00,2.728530770502735958e+00,2.951762720233421344e+00,3.767981991150894494e+00,3.767981991150894938e+00,2.630393467523123086e+00,2.659246278735230451e+00,2.311157291323023166e+00,2.593930141081278062e+00,2.357583172424666529e+00,2.783071783218583839e+00,3.357007820270011766e+00,3.767981991150894494e+00,3.666816864849709035e+00,2.544136543133058481e+00,2.638079975338018635e+00,2.304161649264935718e+00,2.600520119533065166e+00
2.696496188216545242e+00,2.332298999984911969e+00,2.597846297458810572e+00,2.344081945075685791e+00,2.732429626116819943e+00,2.811396709828461127e+00,3.767981991150894938e+00,3.767981991150894938e+00,2.642788752286065801e+00,2.668551610491232129e+00,2.321153254769018570e+00,2.603572605813210927e+00,2.364163935745768885e+00,2.787668295471260382e+00,3.323374246993381131e+00,3.767981991150894938e+00,3.745841983785979323e+00,2.554240375552748077e+00,2.646663464492507778e+00,2.313663103858569325e+00,2.607768831285727007e+00
2.703966970233448119e+00,2.335165721384816262e+00,2.599790986771918000e+00,2.349547495855954349e+00,2.740311674749960069e+00,2.984230442265152217e+00,3.767981991150894938e+00,3.767981991150894938e+00,2.648874210830928888e+00,3.767981991150894050e+00,2.324638054206459081e+00,2.603304663715710454e+00,2.370371761853536707e+00,2.791874415948606636e+00,3.375473684730299517e+00,3.767981991150894938e+00,3.767981991150894938e+00,2.563784574385762571e+00,2.650067275502958619e+00,2.320795762561150166e+00,2.608940187757174733e+00
2.705554232074187215e+00,2.342280031613809932e+00,2.609064352156661659e+00,2.354950258293074583e+00,2.745690632698769118e+00,3.001077628548841858e+00,3.767981991150894050e+00,3.767981991150894938e+00,2.660660646938279861e+00,2.677944529730666989e+00,2.328804014322209959e+00,2.612755420798041683e+00,2.373742573287981106e+00,2.798457392415055089e+00,3.488459558633682622e+00,3.767981991150894938e+00,3.767981991150894938e+00,2.569717645787765736e+00,2.656468245490356317e+00,2.323506500461404833e+00,2.612755420798041683e+00
2.712550864191562994e+00,2.346105173501194852e+00,2.610664808268854387e+00,2.356165762926705209e+00,2.748336840256897062e+00,3.018585928370842719e+00,3.767981991150894494e+00,3.767981991150894938e+00,2.667927335702908742e+00,2.682773159936939322e+00,2.333735184844659027e+00,2.611536809609839693e+00,2.381166172758889754e+00,2.805014686144282177e+00,3.547837080261928566e+00,3.767981991150894938e+00,3.767981991150894938e+00,2.577747696069678796e+00,2.660682661338379607e+00,2.327526318933537119e+00,2.617759290944519535e+00
2.718000440220259772e+00,2.346692297016208073e+00,2.616473658439984362e+00,2.364151047052775123e+00,2.755459055698374016e+00,3.034804778465046482e+00,3.767981991150894494e+00,3.767981991150894494e+00,2.677435250136763312e+00,2.686201109734596137e+00,2.343441523136017501e+00,2.617673326293813219e+00,2.384249989839990924e+00,2.812674415913687831e+00,3.636456651737520307e+00,3.767981991150894494e+00,3.767981991150895382e+00,2.585626721338417866e+00,2.664211406302599894e+00,2.329949030229993223e+00,2.618813538919230854e+00
2.724935260963542660e+00,2.354999084104819396e+00,2.617880943179218267e+00,2.375005373264171826e+00,2.761522137168089142e+00,3.051440706280736048e+00,3.767981991150894494e+00,3.767981991150894494e+00,2.687450847418406230e+00,2.690334096198998104e+00,2.344936441068881106e+00,2.619093536044328818e+00,2.391316665812202924e+00,2.816641782257042426e+00,3.730415774639114890e+00,3.767981991150894938e+00,3.767981991150894494e+00,2.591943471908452423e+00,2.666911950451090529e+00,2.336705298936764930e+00,2.628232307927292677e+00
2.726838637067205084e+00,2.363105453633544073e+00,2.621162073413227045e+00,2.374332276422153498e+00,2.768962096168916975e+00,3.069181216816718294e+00,3.767981991150894494e+00,3.767981991150894494e+00,2.696211751064981677e+00,2.696455098071143475e+00,2.347905501144521345e+00,2.622095334761701313e+00,2.395847158567883994e+00,2.820956326054115504e+00,3.767981991150894938e+00,3.767981991150894938e+00,3.767981991150894494e+00,2.602683426391017907e+00,2.672808553153451339e+00,2.340915772881732249e+00,2.628198546619577414e+00
2.732396068104883557e+00,2.363836754919035332e+00,2.624361619068212192e+00,2.378564111465916842e+00,2.770573513182144954e+00,2.952956151532317275e+00,3.767981991150894494e+00,3.767981991150894494e+00,2.705309834427613414e+00,2.703053925532385549e+00,2.355603954054481086e+00,2.626688988568513405e+00,2.400950765455110325e+00,2.828056578251548103e+00,3.767981991150894938e+00,3.767981991150894938e+00,3.767981991150894494e+00,2.609700148835251365e+00,2.677206833679292686e+00,2.347036290222491939e+00,2.635662981867233245e+00
2.737363670559516127e+00,2.370871762883462797e+00,2.625704261645568138e+00,2.384439668265425638e+00,2.777644598130761366e+00,3.103284244852890339e+00,3.767981991150894494e+00,3.767981991150894938e+00,2.715020286329071997e+00,2.703670786028237405e+00,2.357767737048394263e+00,2.630003286477872848e+00,2.400147028203464927e+00,2.831976389997880705e+00,3.767981991150894938e+00,3.767981991150894938e+00,3.767981991150894938e+00,2.616654952825838709e+00,2.681547883224534967e+00,2.350395136274786800e+00,2.635832211187020935e+00
2.741091466190344494e+00,2.376116738654257432e+00,2.630602619361769534e+00,2.390100125115881990e+00,2.784350417352046581e+00,3.120849302200177977e+00,3.767981991150894494e+00,3.767981991150894938e+00,2.723286902660579933e+00,2.711768661323159524e+00,2.363487692429628861e+00,2.634229079876317492e+00,2.411999515147003503e+00,2.835608973288056056e+00,3.767981991150894938e+00,3.767981991150895382e+00,3.767981991150894938e+00,2.625244958713782051e+00,2.687862919000969519e+00,2.353007753100978316e+00,2.640643624522544641e+00
2.750453812893010053e+00,2.380003605974696512e+00,2.634618529696286071e+00,2.391493412616771508e+00,2.787810386924933770e+00,3.138645041215804454e+00,3.767981991150894494e+00,3.767981991150894050e+00,2.733369696616100519e+00,2.709877791507322442e+00,2.366479098432098027e+00,2.637255451696247199e+00,2.417861980270129330e+00,2.843576754725283262e+00,3.767981991150894938e+00,3.767981991150895382e+00,3.767981991150894050e+00,2.629645511388680745e+00,2.686078476878683396e+00,2.356473762789535353e+00,2.642205414811856112e+00
2.750131172343203811e+00,2.383243103176986288e+00,2.637035411530170848e+00,2.398487304954240340e+00,2.794231213050299978e+00,3.156326864130218901e+00,3.767981991150894494e+00,3.767981991150894494e+00,2.740858920872650817e+00,2.718476497449354934e+00,2.371152798830293396e+00,2.638002735324665338e+00,2.419946549371005950e+00,2.848258991704102350e+00,3.767981991150894938e+00,3.767981991150895382e+00,3.767981991150894494e+00,2.639203397274430429e+00,2.694311085773036130e+00,2.363287815229680344e+00,2.645378515569927202e+00
2.754743136387628688e+00,2.393226752980503580e+00,2.641551690369942307e+00,2.402654847862612186e+00,2.797721455726576156e+00,3.175169035061051304e+00,3.767981991150894938e+00,3.767981991150894494e+00,2.749881951509319133e+00,2.724379765199230086e+00,2.371457197227835767e+00,2.643036803558549863e+00,2.424676445678570769e+00,2.853349007992499242e+00,3.767981991150894938e+00,3.767981991150895382e+00,3.767981991150894494e+00,2.647219589481569102e+00,2.693222940719454339e+00,2.371457197227835767e+00,2.648480186889922372e+00
2.760842422684701702e+00,2.391390762970634576e+00,2.640571472094915162e+00,2.408009749685551260e+00,2.800412624547385931e+00,3.193447389611999476e+00,3.767981991150894938e+00,3.767981991150894494e+00,2.757058963158780074e+00,2.726471367799100598e+00,2.380459181704472460e+00,2.641759525201313075e+00,2.432228992807278445e+00,2.860254398535274412e+00,3.767981991150895382e+00,3.767981991150895382e+00,3.767981991150894494e+00,2.653987358974612576e+00,2.701827403740134415e+00,2.371768486658220265e+00,2.654610509833519316e+00
